id,Geography,bachelorOrHigher
01001,"Autauga County, Alabama",24.6
01003,"Baldwin County, Alabama",29.5
01005,"Barbour County, Alabama",12.9
01007,"Bibb County, Alabama",12
01009,"Blount County, Alabama",13
01011,"Bullock County, Alabama",10.3
01013,"Butler County, Alabama",16.1
01015,"Calhoun County, Alabama",17.7
01017,"Chambers County, Alabama",12.5
01019,"Cherokee County, Alabama",14
01021,"Chilton County, Alabama",14.9
01023,"Choctaw County, Alabama",12
01025,"Clarke County, Alabama",12.1
01027,"Clay County, Alabama",11.1
01029,"Cleburne County, Alabama",11.5
01031,"Coffee County, Alabama",23.7
01033,"Colbert County, Alabama",18.5
01035,"Conecuh County, Alabama",8.7
01037,"Coosa County, Alabama",9.9
01039,"Covington County, Alabama",14.9
01041,"Crenshaw County, Alabama",14.6
01043,"Cullman County, Alabama",15
01045,"Dale County, Alabama",16.1
01047,"Dallas County, Alabama",13.8
01049,"DeKalb County, Alabama",11.4
01051,"Elmore County, Alabama",22.2
01053,"Escambia County, Alabama",11.6
01055,"Etowah County, Alabama",16.5
01057,"Fayette County, Alabama",14.1
01059,"Franklin County, Alabama",12.4
01061,"Geneva County, Alabama",11.7
01063,"Greene County, Alabama",10
01065,"Hale County, Alabama",14
01067,"Henry County, Alabama",16.1
01069,"Houston County, Alabama",21
01071,"Jackson County, Alabama",12.6
01073,"Jefferson County, Alabama",31.4
01075,"Lamar County, Alabama",13.1
01077,"Lauderdale County, Alabama",21.7
01079,"Lawrence County, Alabama",10.3
01081,"Lee County, Alabama",34.4
01083,"Limestone County, Alabama",23.3
01085,"Lowndes County, Alabama",12.3
01087,"Macon County, Alabama",20
01089,"Madison County, Alabama",40.7
01091,"Marengo County, Alabama",14.8
01093,"Marion County, Alabama",12.5
01095,"Marshall County, Alabama",16.6
01097,"Mobile County, Alabama",22.5
01099,"Monroe County, Alabama",12.4
01101,"Montgomery County, Alabama",31.5
01103,"Morgan County, Alabama",21.4
01105,"Perry County, Alabama",14.5
01107,"Pickens County, Alabama",11.1
01109,"Pike County, Alabama",24
01111,"Randolph County, Alabama",15.4
01113,"Russell County, Alabama",17
01115,"St. Clair County, Alabama",16.1
01117,"Shelby County, Alabama",41.4
01119,"Sumter County, Alabama",18.1
01121,"Talladega County, Alabama",13.1
01123,"Tallapoosa County, Alabama",17.3
01125,"Tuscaloosa County, Alabama",29.4
01127,"Walker County, Alabama",10.5
01129,"Washington County, Alabama",9.6
01131,"Wilcox County, Alabama",11.3
01133,"Winston County, Alabama",13.1
02013,"Aleutians East Borough, Alaska",11.9
02016,"Aleutians West Census Area, Alaska",15.7
02020,"Anchorage Municipality, Alaska",34.3
02050,"Bethel Census Area, Alaska",11.4
02060,"Bristol Bay Borough, Alaska",19.1
02068,"Denali Borough, Alaska",38.5
02070,"Dillingham Census Area, Alaska",17.6
02090,"Fairbanks North Star Borough, Alaska",33.4
02100,"Haines Borough, Alaska",40.4
02105,"Hoonah-Angoon Census Area, Alaska",24.3
02110,"Juneau City and Borough, Alaska",39.4
02122,"Kenai Peninsula Borough, Alaska",23.7
02130,"Ketchikan Gateway Borough, Alaska",23.8
02150,"Kodiak Island Borough, Alaska",24.8
02158,"Kusilvak Census Area, Alaska",4.8
02164,"Lake and Peninsula Borough, Alaska",12.5
02170,"Matanuska-Susitna Borough, Alaska",20.6
02180,"Nome Census Area, Alaska",13.9
02185,"North Slope Borough, Alaska",14.2
02188,"Northwest Arctic Borough, Alaska",10.8
02195,"Petersburg Borough, Alaska",25
02198,"Prince of Wales-Hyder Census Area, Alaska",15.8
02220,"Sitka City and Borough, Alaska",32.4
02230,"Skagway Municipality, Alaska",33.7
02240,"Southeast Fairbanks Census Area, Alaska",19.2
02261,"Valdez-Cordova Census Area, Alaska",30.1
02275,"Wrangell City and Borough, Alaska",20.3
02282,"Yakutat City and Borough, Alaska",19.7
02290,"Yukon-Koyukuk Census Area, Alaska",12.3
04001,"Apache County, Arizona",11.1
04003,"Cochise County, Arizona",23.2
04005,"Coconino County, Arizona",34.2
04007,"Gila County, Arizona",17.7
04009,"Graham County, Arizona",13.3
04011,"Greenlee County, Arizona",12.2
04012,"La Paz County, Arizona",10.4
04013,"Maricopa County, Arizona",31
04015,"Mohave County, Arizona",11.9
04017,"Navajo County, Arizona",14.5
04019,"Pima County, Arizona",30.8
04021,"Pinal County, Arizona",18.5
04023,"Santa Cruz County, Arizona",22.5
04025,"Yavapai County, Arizona",25.5
04027,"Yuma County, Arizona",14.4
05001,"Arkansas County, Arkansas",14.4
05003,"Ashley County, Arkansas",13.6
05005,"Baxter County, Arkansas",17.7
05007,"Benton County, Arkansas",30.7
05009,"Boone County, Arkansas",15
05011,"Bradley County, Arkansas",14.2
05013,"Calhoun County, Arkansas",12
05015,"Carroll County, Arkansas",17.7
05017,"Chicot County, Arkansas",13.1
05019,"Clark County, Arkansas",24.7
05021,"Clay County, Arkansas",11.3
05023,"Cleburne County, Arkansas",15.4
05025,"Cleveland County, Arkansas",15.7
05027,"Columbia County, Arkansas",21.9
05029,"Conway County, Arkansas",16.9
05031,"Craighead County, Arkansas",25.4
05033,"Crawford County, Arkansas",13.5
05035,"Crittenden County, Arkansas",17.4
05037,"Cross County, Arkansas",14.7
05039,"Dallas County, Arkansas",12.7
05041,"Desha County, Arkansas",13.2
05043,"Drew County, Arkansas",19.8
05045,"Faulkner County, Arkansas",29.1
05047,"Franklin County, Arkansas",13
05049,"Fulton County, Arkansas",11
05051,"Garland County, Arkansas",20.6
05053,"Grant County, Arkansas",19.8
05055,"Greene County, Arkansas",16.4
05057,"Hempstead County, Arkansas",12.6
05059,"Hot Spring County, Arkansas",13.5
05061,"Howard County, Arkansas",15.7
05063,"Independence County, Arkansas",17.6
05065,"Izard County, Arkansas",12.4
05067,"Jackson County, Arkansas",8.6
05069,"Jefferson County, Arkansas",17
05071,"Johnson County, Arkansas",15.9
05073,"Lafayette County, Arkansas",13.7
05075,"Lawrence County, Arkansas",13.4
05077,"Lee County, Arkansas",8.2
05079,"Lincoln County, Arkansas",7.8
05081,"Little River County, Arkansas",9.7
05083,"Logan County, Arkansas",13
05085,"Lonoke County, Arkansas",19.5
05087,"Madison County, Arkansas",11.3
05089,"Marion County, Arkansas",15.3
05091,"Miller County, Arkansas",14.5
05093,"Mississippi County, Arkansas",12.6
05095,"Monroe County, Arkansas",9.1
05097,"Montgomery County, Arkansas",12.5
05099,"Nevada County, Arkansas",15.1
05101,"Newton County, Arkansas",14.8
05103,"Ouachita County, Arkansas",16.6
05105,"Perry County, Arkansas",10.6
05107,"Phillips County, Arkansas",11.7
05109,"Pike County, Arkansas",14.8
05111,"Poinsett County, Arkansas",9.6
05113,"Polk County, Arkansas",12.3
05115,"Pope County, Arkansas",21.3
05117,"Prairie County, Arkansas",13
05119,"Pulaski County, Arkansas",32.9
05121,"Randolph County, Arkansas",13.7
05123,"St. Francis County, Arkansas",10.4
05125,"Saline County, Arkansas",24.5
05127,"Scott County, Arkansas",10.6
05129,"Searcy County, Arkansas",14.4
05131,"Sebastian County, Arkansas",18.8
05133,"Sevier County, Arkansas",9.4
05135,"Sharp County, Arkansas",10.1
05137,"Stone County, Arkansas",14.4
05139,"Union County, Arkansas",19.2
05141,"Van Buren County, Arkansas",13.6
05143,"Washington County, Arkansas",31.2
05145,"White County, Arkansas",19.3
05147,"Woodruff County, Arkansas",10.2
05149,"Yell County, Arkansas",14.4
06001,"Alameda County, California",43.9
06003,"Alpine County, California",29.7
06005,"Amador County, California",21.5
06007,"Butte County, California",26.1
06009,"Calaveras County, California",20.2
06011,"Colusa County, California",14.4
06013,"Contra Costa County, California",40.3
06015,"Del Norte County, California",14.9
06017,"El Dorado County, California",33
06019,"Fresno County, California",19.7
06021,"Glenn County, California",12.7
06023,"Humboldt County, California",28.2
06025,"Imperial County, California",14
06027,"Inyo County, California",24.5
06029,"Kern County, California",15.7
06031,"Kings County, California",12.8
06033,"Lake County, California",16.2
06035,"Lassen County, California",12.5
06037,"Los Angeles County, California",30.8
06039,"Madera County, California",13.1
06041,"Marin County, California",57.1
06043,"Mariposa County, California",22.6
06045,"Mendocino County, California",24.1
06047,"Merced County, California",13.7
