id,Geography,income100Plus,bachelorPlus
01001,"Autauga County, Alabama",20.8,24.6
01003,"Baldwin County, Alabama",20.9,29.5
01005,"Barbour County, Alabama",9.9,12.9
01007,"Bibb County, Alabama",10.6,12
01009,"Blount County, Alabama",13.3,13
01011,"Bullock County, Alabama",5.3,10.3
01013,"Butler County, Alabama",10.1,16.1
01015,"Calhoun County, Alabama",13.6,17.7
01017,"Chambers County, Alabama",8.4,12.5
01019,"Cherokee County, Alabama",12.7,14
01021,"Chilton County, Alabama",13,14.9
01023,"Choctaw County, Alabama",12.5,12
01025,"Clarke County, Alabama",14.7,12.1
01027,"Clay County, Alabama",10.1,11.1
01029,"Cleburne County, Alabama",11,11.5
01031,"Coffee County, Alabama",19.5,23.7
01033,"Colbert County, Alabama",13.3,18.5
01035,"Conecuh County, Alabama",5.4,8.7
01037,"Coosa County, Alabama",5.8,9.9
01039,"Covington County, Alabama",12.1,14.9
01041,"Crenshaw County, Alabama",11.7,14.6
01043,"Cullman County, Alabama",11.7,15
01045,"Dale County, Alabama",14.1,16.1
01047,"Dallas County, Alabama",10,13.8
01049,"DeKalb County, Alabama",9,11.4
01051,"Elmore County, Alabama",20.5,22.2
01053,"Escambia County, Alabama",10.5,11.6
01055,"Etowah County, Alabama",11.7,16.5
01057,"Fayette County, Alabama",8.8,14.1
01059,"Franklin County, Alabama",9.4,12.4
01061,"Geneva County, Alabama",9.9,11.7
01063,"Greene County, Alabama",5.3,10
01065,"Hale County, Alabama",9.5,14
01067,"Henry County, Alabama",15,16.1
01069,"Houston County, Alabama",15.3,21
01071,"Jackson County, Alabama",10.7,12.6
01073,"Jefferson County, Alabama",20.2,31.4
01075,"Lamar County, Alabama",8.8,13.1
01077,"Lauderdale County, Alabama",14.6,21.7
01079,"Lawrence County, Alabama",13.4,10.3
01081,"Lee County, Alabama",18.8,34.4
01083,"Limestone County, Alabama",21.8,23.3
01085,"Lowndes County, Alabama",8.8,12.3
01087,"Macon County, Alabama",9.9,20
01089,"Madison County, Alabama",28.8,40.7
01091,"Marengo County, Alabama",11.3,14.8
01093,"Marion County, Alabama",12.2,12.5
01095,"Marshall County, Alabama",13.5,16.6
01097,"Mobile County, Alabama",16.1,22.5
01099,"Monroe County, Alabama",8.9,12.4
01101,"Montgomery County, Alabama",18,31.5
01103,"Morgan County, Alabama",15.9,21.4
01105,"Perry County, Alabama",7.5,14.5
01107,"Pickens County, Alabama",10.1,11.1
01109,"Pike County, Alabama",11.5,24
01111,"Randolph County, Alabama",9,15.4
01113,"Russell County, Alabama",11.4,17
01115,"St. Clair County, Alabama",17.6,16.1
01117,"Shelby County, Alabama",31.9,41.4
01119,"Sumter County, Alabama",5.6,18.1
01121,"Talladega County, Alabama",11.4,13.1
01123,"Tallapoosa County, Alabama",11.5,17.3
01125,"Tuscaloosa County, Alabama",18.4,29.4
01127,"Walker County, Alabama",11.1,10.5
01129,"Washington County, Alabama",10.6,9.6
01131,"Wilcox County, Alabama",7.6,11.3
01133,"Winston County, Alabama",8.5,13.1
02013,"Aleutians East Borough, Alaska",26.9,11.9
02016,"Aleutians West Census Area, Alaska",38.6,15.7
02020,"Anchorage Municipality, Alaska",39.3,34.3
02050,"Bethel Census Area, Alaska",20.6,11.4
02060,"Bristol Bay Borough, Alaska",40.8,19.1
02068,"Denali Borough, Alaska",40.6,38.5
02070,"Dillingham Census Area, Alaska",23.3,17.6
02090,"Fairbanks North Star Borough, Alaska",32.9,33.4
02100,"Haines Borough, Alaska",23.7,40.4
02105,"Hoonah-Angoon Census Area, Alaska",20.1,24.3
02110,"Juneau City and Borough, Alaska",42.1,39.4
02122,"Kenai Peninsula Borough, Alaska",29.2,23.7
02130,"Ketchikan Gateway Borough, Alaska",28.6,23.8
02150,"Kodiak Island Borough, Alaska",35.9,24.8
