id,Geography,income100Plus,bachelorPlus
01001,"Autauga County, Alabama",53099,0.246
01003,"Baldwin County, Alabama",51365,0.295
01005,"Barbour County, Alabama",33956,0.129
01007,"Bibb County, Alabama",39776,0.12
01009,"Blount County, Alabama",46212,0.13
01011,"Bullock County, Alabama",29335,0.103
01013,"Butler County, Alabama",34315,0.161
01015,"Calhoun County, Alabama",41954,0.177
01017,"Chambers County, Alabama",36027,0.125
01019,"Cherokee County, Alabama",38925,0.14
01021,"Chilton County, Alabama",42594,0.149
01023,"Choctaw County, Alabama",32622,0.12
01025,"Clarke County, Alabama",32735,0.121
01027,"Clay County, Alabama",38815,0.111
01029,"Cleburne County, Alabama",36316,0.115
01031,"Coffee County, Alabama",47872,0.237
01033,"Colbert County, Alabama",43786,0.185
01035,"Conecuh County, Alabama",27609,0.087
01037,"Coosa County, Alabama",31910,0.099
01039,"Covington County, Alabama",37313,0.149
01041,"Crenshaw County, Alabama",37557,0.146
01043,"Cullman County, Alabama",39297,0.15
01045,"Dale County, Alabama",44093,0.161
01047,"Dallas County, Alabama",28136,0.138
01049,"DeKalb County, Alabama",38248,0.114
01051,"Elmore County, Alabama",53398,0.222
01053,"Escambia County, Alabama",32334,0.116
01055,"Etowah County, Alabama",40478,0.165
01057,"Fayette County, Alabama",36205,0.141
01059,"Franklin County, Alabama",36138,0.124
01061,"Geneva County, Alabama",36519,0.117
01063,"Greene County, Alabama",21339,0.1
01065,"Hale County, Alabama",33351,0.14
01067,"Henry County, Alabama",41045,0.161
01069,"Houston County, Alabama",41945,0.21
01071,"Jackson County, Alabama",38422,0.126
01073,"Jefferson County, Alabama",47220,0.314
01075,"Lamar County, Alabama",34298,0.131
01077,"Lauderdale County, Alabama",43657,0.217
01079,"Lawrence County, Alabama",42339,0.103
01081,"Lee County, Alabama",45056,0.344
01083,"Limestone County, Alabama",51115,0.233
01085,"Lowndes County, Alabama",27914,0.123
01087,"Macon County, Alabama",32390,0.2
01089,"Madison County, Alabama",60150,0.407
01091,"Marengo County, Alabama",30713,0.148
01093,"Marion County, Alabama",34074,0.125
01095,"Marshall County, Alabama",39831,0.166
01097,"Mobile County, Alabama",44263,0.225
01099,"Monroe County, Alabama",28182,0.124
01101,"Montgomery County, Alabama",45358,0.315
01103,"Morgan County, Alabama",46883,0.214
01105,"Perry County, Alabama",24912,0.145
01107,"Pickens County, Alabama",31679,0.111
01109,"Pike County, Alabama",33193,0.24
01111,"Randolph County, Alabama",37496,0.154
01113,"Russell County, Alabama",38400,0.17
01115,"St. Clair County, Alabama",54042,0.161
01117,"Shelby County, Alabama",72310,0.414
01119,"Sumter County, Alabama",20428,0.181
01121,"Talladega County, Alabama",37923,0.131
01123,"Tallapoosa County, Alabama",39395,0.173
01125,"Tuscaloosa County, Alabama",48022,0.294
01127,"Walker County, Alabama",37025,0.105
01129,"Washington County, Alabama",40293,0.096
01131,"Wilcox County, Alabama",24442,0.113
01133,"Winston County, Alabama",33896,0.131
02013,"Aleutians East Borough, Alaska",65926,0.119
02016,"Aleutians West Census Area, Alaska",86964,0.157
02020,"Anchorage Municipality, Alaska",80862,0.343
02050,"Bethel Census Area, Alaska",53296,0.114
02060,"Bristol Bay Borough, Alaska",88000,0.191
02068,"Denali Borough, Alaska",81302,0.385
02070,"Dillingham Census Area, Alaska",56055,0.176
02090,"Fairbanks North Star Borough, Alaska",73831,0.334
02100,"Haines Borough, Alaska",53125,0.404
