id,Geography,meanCommute
01001,"Autauga County, Alabama",26.1
01003,"Baldwin County, Alabama",27.2
01005,"Barbour County, Alabama",23.7
01007,"Bibb County, Alabama",29.1
01009,"Blount County, Alabama",35.1
01011,"Bullock County, Alabama",26.4
01013,"Butler County, Alabama",23.2
01015,"Calhoun County, Alabama",24.6
01017,"Chambers County, Alabama",24.5
01019,"Cherokee County, Alabama",27.6
01021,"Chilton County, Alabama",32
01023,"Choctaw County, Alabama",31.8
01025,"Clarke County, Alabama",24.6
01027,"Clay County, Alabama",30.7
01029,"Cleburne County, Alabama",33.8
01031,"Coffee County, Alabama",21.1
01033,"Colbert County, Alabama",23.6
01035,"Conecuh County, Alabama",28.7
01037,"Coosa County, Alabama",29.2
01039,"Covington County, Alabama",26.3
01041,"Crenshaw County, Alabama",28.2
01043,"Cullman County, Alabama",26.5
01045,"Dale County, Alabama",20.4
01047,"Dallas County, Alabama",22.4
01049,"DeKalb County, Alabama",23
01051,"Elmore County, Alabama",28.5
01053,"Escambia County, Alabama",23.1
01055,"Etowah County, Alabama",23.9
01057,"Fayette County, Alabama",29
01059,"Franklin County, Alabama",29.1
01061,"Geneva County, Alabama",27.3
01063,"Greene County, Alabama",31.2
01065,"Hale County, Alabama",29.3
01067,"Henry County, Alabama",25.7
01069,"Houston County, Alabama",21.6
01071,"Jackson County, Alabama",25.4
01073,"Jefferson County, Alabama",23.6
01075,"Lamar County, Alabama",28
01077,"Lauderdale County, Alabama",24.7
01079,"Lawrence County, Alabama",27.9
01081,"Lee County, Alabama",22.1
01083,"Limestone County, Alabama",25.6
01085,"Lowndes County, Alabama",30.4
01087,"Macon County, Alabama",21.8
01089,"Madison County, Alabama",21.1
01091,"Marengo County, Alabama",25.4
01093,"Marion County, Alabama",24.5
01095,"Marshall County, Alabama",23.9
01097,"Mobile County, Alabama",24.7
01099,"Monroe County, Alabama",25.3
01101,"Montgomery County, Alabama",20
01103,"Morgan County, Alabama",24.3
01105,"Perry County, Alabama",26.1
01107,"Pickens County, Alabama",29.9
01109,"Pike County, Alabama",19.7
01111,"Randolph County, Alabama",26.8
01113,"Russell County, Alabama",24.5
01115,"St. Clair County, Alabama",29.8
01117,"Shelby County, Alabama",28
01119,"Sumter County, Alabama",24.4
01121,"Talladega County, Alabama",25
01123,"Tallapoosa County, Alabama",24.5
01125,"Tuscaloosa County, Alabama",22.1
01127,"Walker County, Alabama",29.9
01129,"Washington County, Alabama",33.3
01131,"Wilcox County, Alabama",23.9
01133,"Winston County, Alabama",28.3
