id,Geography,below_hs,hs,some_col_or_associate,bach,grad_or_prof
01001,"Autauga County, Alabama",20717,28092,35997,48745,56186
01003,"Baldwin County, Alabama",18963,25719,30079,47847,53780
01005,"Barbour County, Alabama",21820,21745,27422,40887,52182
01007,"Bibb County, Alabama",14517,30467,30446,28732,48952
01009,"Blount County, Alabama",23750,29642,38750,47382,51547
01011,"Bullock County, Alabama",23289,24483,24873,41310,-
01013,"Butler County, Alabama",19206,22833,28012,42660,52278
01015,"Calhoun County, Alabama",15906,25642,30201,39935,50025
01017,"Chambers County, Alabama",21377,25424,31195,45792,50827
01019,"Cherokee County, Alabama",20848,28331,31578,44524,53079
01021,"Chilton County, Alabama",26129,27656,35333,43809,49643
01023,"Choctaw County, Alabama",-,28508,27091,40893,35385
01025,"Clarke County, Alabama",19807,29416,38765,38277,53802
01027,"Clay County, Alabama",20432,27048,26641,37841,52656
01029,"Cleburne County, Alabama",22524,27319,34815,40278,49886
01031,"Coffee County, Alabama",22500,23010,30986,43306,55319
01033,"Colbert County, Alabama",23138,26999,30674,46669,50463
01035,"Conecuh County, Alabama",24479,25061,25330,45938,58417
01037,"Coosa County, Alabama",16943,24401,31492,28108,73274
01039,"Covington County, Alabama",19558,26595,28535,44632,53892
01041,"Crenshaw County, Alabama",20985,28513,28689,41216,50583
01043,"Cullman County, Alabama",21442,26453,32127,43284,52393
01045,"Dale County, Alabama",20603,25331,31136,46282,51533
01047,"Dallas County, Alabama",18718,22687,26511,37038,47823
01049,"DeKalb County, Alabama",19460,26487,29440,40692,51753
01051,"Elmore County, Alabama",16737,28351,36109,48868,57727
01053,"Escambia County, Alabama",16970,25895,29470,36778,58005
01055,"Etowah County, Alabama",20619,25029,30149,41807,51233
01057,"Fayette County, Alabama",20625,26710,30614,46875,39425
01059,"Franklin County, Alabama",22014,26325,25670,36883,52116
01061,"Geneva County, Alabama",17352,24779,31366,42219,51273
01063,"Greene County, Alabama",14453,20589,21634,38293,39345
01065,"Hale County, Alabama",15969,25197,30577,50366,52283
01067,"Henry County, Alabama",16807,24972,31088,47292,54107
01069,"Houston County, Alabama",18667,25068,30600,44676,56331
01071,"Jackson County, Alabama",22068,26649,27650,46250,50331
01073,"Jefferson County, Alabama",18438,26284,31261,49522,60195
01075,"Lamar County, Alabama",26044,30210,26386,44688,52464
01077,"Lauderdale County, Alabama",22422,27282,31016,41553,50671
01079,"Lawrence County, Alabama",22106,33740,37484,47813,54090
01081,"Lee County, Alabama",18075,26828,32238,42697,57766
01083,"Limestone County, Alabama",20392,27503,34643,50421,62386
01085,"Lowndes County, Alabama",16017,27143,29315,41373,51510
01087,"Macon County, Alabama",21436,24896,27651,33349,56950
01089,"Madison County, Alabama",18190,25895,31922,56693,79994
01091,"Marengo County, Alabama",30233,25026,27533,45605,52500
01093,"Marion County, Alabama",19272,24871,29672,44583,50783
01095,"Marshall County, Alabama",18924,24340,30144,42585,51701
01097,"Mobile County, Alabama",17979,27819,30291,43303,52275
01099,"Monroe County, Alabama",20164,27031,31816,49009,49375
01101,"Montgomery County, Alabama",18597,23465,29826,44415,56920
01103,"Morgan County, Alabama",19535,26393,31223,49530,55095
01105,"Perry County, Alabama",22500,23353,24964,30899,39098
01107,"Pickens County, Alabama",13963,24307,26352,37024,43424
01109,"Pike County, Alabama",20672,24983,28085,36857,52679
01111,"Randolph County, Alabama",26165,27122,31017,40872,47995
01113,"Russell County, Alabama",20972,24903,31851,45385,46744
01115,"St. Clair County, Alabama",21978,33235,37716,50905,54425
01117,"Shelby County, Alabama",20978,31310,37444,56901,62221
01119,"Sumter County, Alabama",12281,17955,21901,42250,38162
01121,"Talladega County, Alabama",19322,25840,30400,41809,53578
01123,"Tallapoosa County, Alabama",22382,27327,29825,41455,58264
01125,"Tuscaloosa County, Alabama",19932,27435,31275,42729,51670
01127,"Walker County, Alabama",18223,25536,31228,41843,51897
01129,"Washington County, Alabama",7057,30045,31388,31186,52083
01131,"Wilcox County, Alabama",18194,24152,21875,40250,41875
01133,"Winston County, Alabama",23673,21791,25751,35980,48977
02013,"Aleutians East Borough, Alaska",24063,27398,35735,27074,78750
02016,"Aleutians West Census Area, Alaska",25341,32326,40313,37614,81875
02020,"Anchorage Municipality, Alaska",26696,36722,42300,56915,75663
02050,"Bethel Census Area, Alaska",11360,18699,32321,65547,85179
02060,"Bristol Bay Borough, Alaska",16250,50278,48750,51250,64167
02068,"Denali Borough, Alaska",30500,40714,50795,41563,36250
02070,"Dillingham Census Area, Alaska",8750,21121,35865,52941,66250
02090,"Fairbanks North Star Borough, Alaska",29068,35793,43387,50064,69375
02100,"Haines Borough, Alaska",-,24946,24583,50938,53750
02105,"Hoonah-Angoon Census Area, Alaska",18068,31708,31779,40000,62083
02110,"Juneau City and Borough, Alaska",32043,35612,45654,52035,74450
02122,"Kenai Peninsula Borough, Alaska",25753,37153,38455,48351,62376
02130,"Ketchikan Gateway Borough, Alaska",27303,34764,37233,50324,71726
02150,"Kodiak Island Borough, Alaska",20948,30150,37155,41408,72010
02158,"Kusilvak Census Area, Alaska",7976,15363,23344,51786,66667
02164,"Lake and Peninsula Borough, Alaska",5893,16677,33929,41250,60313
02170,"Matanuska-Susitna Borough, Alaska",32344,37146,42037,54923,67901
02180,"Nome Census Area, Alaska",11689,20404,36066,51220,68438
02185,"North Slope Borough, Alaska",37679,51762,72132,85000,104500
02188,"Northwest Arctic Borough, Alaska",11083,25065,45542,73194,85750
02195,"Petersburg Borough, Alaska",20595,36174,43750,52353,60750
02198,"Prince of Wales-Hyder Census Area, Alaska",12708,22168,32071,47727,67321
02220,"Sitka City and Borough, Alaska",42109,31918,40089,55109,59688
02230,"Skagway Municipality, Alaska",25938,34135,32500,50156,56000
02240,"Southeast Fairbanks Census Area, Alaska",53750,31616,41779,64722,62981
02261,"Valdez-Cordova Census Area, Alaska",30625,47813,54018,-,73056
02275,"Wrangell City and Borough, Alaska",31691,30789,31331,45625,67292
02282,"Yakutat City and Borough, Alaska",13750,32361,42778,46250,-
02290,"Yukon-Koyukuk Census Area, Alaska",11875,17339,28400,49063,62917
04001,"Apache County, Arizona",17998,26253,30334,45089,51438
04003,"Cochise County, Arizona",14889,21015,29585,47043,51672
04005,"Coconino County, Arizona",21808,26635,30659,39794,52071
04007,"Gila County, Arizona",20480,27596,25404,37199,44375
04009,"Graham County, Arizona",20429,29050,34714,42315,49107
04011,"Greenlee County, Arizona",31058,41250,39176,52396,67222
04012,"La Paz County, Arizona",19123,18003,30012,40762,37981
04013,"Maricopa County, Arizona",20899,29158,35982,51559,65573
04015,"Mohave County, Arizona",17477,24535,27528,35926,50265
04017,"Navajo County, Arizona",18240,22358,27093,41650,50650
04019,"Pima County, Arizona",17936,25260,31291,43142,55727
04021,"Pinal County, Arizona",21166,28479,34813,44352,51202
04023,"Santa Cruz County, Arizona",14439,24094,29385,44022,47308
04025,"Yavapai County, Arizona",21924,23591,27031,35361,42014
04027,"Yuma County, Arizona",15738,25235,30730,40445,51906
05001,"Arkansas County, Arkansas",22523,26943,26086,47070,51742
05003,"Ashley County, Arkansas",20767,28902,30107,36416,63750
05005,"Baxter County, Arkansas",20012,21812,26664,34826,47688
05007,"Benton County, Arkansas",24291,28517,35836,56972,65402
05009,"Boone County, Arkansas",21613,22760,28045,41539,45559
05011,"Bradley County, Arkansas",23088,26794,31510,42021,70568
05013,"Calhoun County, Arkansas",24750,23657,25000,48309,76250
05015,"Carroll County, Arkansas",22390,23064,21661,32578,47440
05017,"Chicot County, Arkansas",15720,22391,25763,30602,41458
05019,"Clark County, Arkansas",20000,23064,29398,40170,43661
05021,"Clay County, Arkansas",18214,22953,24871,35283,46563
05023,"Cleburne County, Arkansas",25194,28728,26355,41028,60446
05025,"Cleveland County, Arkansas",21551,31761,32321,52578,50500
05027,"Columbia County, Arkansas",17067,27205,27726,45000,47083
05029,"Conway County, Arkansas",18803,25236,28563,47110,50179
05031,"Craighead County, Arkansas",20598,25698,26815,41498,57435
05033,"Crawford County, Arkansas",20255,26383,31725,42615,56591
05035,"Crittenden County, Arkansas",20366,25868,31971,49217,56143
05037,"Cross County, Arkansas",17010,29438,27433,51250,55711
05039,"Dallas County, Arkansas",17904,24836,25536,34113,48558
05041,"Desha County, Arkansas",20478,22297,20573,38750,51810
05043,"Drew County, Arkansas",17500,22220,29347,42389,48077
05045,"Faulkner County, Arkansas",26265,30110,31185,45301,59810
05047,"Franklin County, Arkansas",15737,26832,35060,40060,51875
05049,"Fulton County, Arkansas",22500,26105,23000,39432,45598
05051,"Garland County, Arkansas",16403,23914,26629,42327,54707
05053,"Grant County, Arkansas",22317,32920,31518,43071,58472
05055,"Greene County, Arkansas",20417,28123,26791,47382,52618
05057,"Hempstead County, Arkansas",18319,21926,23650,41472,43846
05059,"Hot Spring County, Arkansas",25369,22495,28250,37370,51721
05061,"Howard County, Arkansas",20000,25160,26250,40400,42168
05063,"Independence County, Arkansas",19855,25855,26276,39682,54482
05065,"Izard County, Arkansas",17105,23800,25141,39133,29515
05067,"Jackson County, Arkansas",22950,22171,22917,50385,52500
05069,"Jefferson County, Arkansas",16651,26267,30309,45895,55191
05071,"Johnson County, Arkansas",19488,24384,27417,37024,49800
05073,"Lafayette County, Arkansas",13352,22168,27153,35938,-
05075,"Lawrence County, Arkansas",20820,24568,26009,35192,43167
05077,"Lee County, Arkansas",20382,20147,24399,54500,36603
05079,"Lincoln County, Arkansas",20175,22412,35469,42857,42984
05081,"Little River County, Arkansas",17451,24613,26019,37179,48625
05083,"Logan County, Arkansas",20466,24385,30811,35932,37500
05085,"Lonoke County, Arkansas",23130,31475,40679,48354,56151
05087,"Madison County, Arkansas",19718,30065,30988,42292,51094
05089,"Marion County, Arkansas",20357,19144,22860,41311,48674
05091,"Miller County, Arkansas",24147,26024,31276,41045,50521
05093,"Mississippi County, Arkansas",19261,25911,26709,42584,48272
05095,"Monroe County, Arkansas",18500,26029,28245,46683,52446
05097,"Montgomery County, Arkansas",18200,26161,30181,34706,53750
05099,"Nevada County, Arkansas",24138,24205,25175,38068,44118
05101,"Newton County, Arkansas",10250,23308,19384,35592,13720
05103,"Ouachita County, Arkansas",16507,24167,28462,42259,49392
05105,"Perry County, Arkansas",22974,26502,29506,46122,37403
05107,"Phillips County, Arkansas",19167,21102,23592,46811,49556
05109,"Pike County, Arkansas",16629,22154,25988,33029,47647
05111,"Poinsett County, Arkansas",17713,26395,27451,38283,40000
05113,"Polk County, Arkansas",22959,22123,21795,40716,43452
05115,"Pope County, Arkansas",24792,24131,24282,36477,51372
05117,"Prairie County, Arkansas",24514,26944,31802,40391,42500
05119,"Pulaski County, Arkansas",20227,26707,31188,46150,62073
05121,"Randolph County, Arkansas",21857,25430,24813,34773,50388
05123,"St. Francis County, Arkansas",17321,22019,27555,35154,43611
05125,"Saline County, Arkansas",25041,29872,35628,50127,59279
05127,"Scott County, Arkansas",21217,23338,21949,41680,42016
05129,"Searcy County, Arkansas",19779,25143,23891,-,41985
05131,"Sebastian County, Arkansas",20864,25317,30114,48615,57157
05133,"Sevier County, Arkansas",23107,27125,25956,39393,36950
05135,"Sharp County, Arkansas",19125,23955,25592,29250,40970
05137,"Stone County, Arkansas",16800,21117,20711,35476,58477
05139,"Union County, Arkansas",20357,25859,29402,42516,61779
05141,"Van Buren County, Arkansas",23514,22069,20933,36012,46953
05143,"Washington County, Arkansas",22454,26779,30945,46532,59557
05145,"White County, Arkansas",22538,26780,30726,41845,50987
05147,"Woodruff County, Arkansas",20435,22210,25324,41563,39583
05149,"Yell County, Arkansas",23098,29832,26118,33665,50313
06001,"Alameda County, California",22127,31853,40769,62333,88271
06003,"Alpine County, California",8594,-,30000,27212,63750
