id,Geography,own,rent
01001,"Autauga County, Alabama",73.2,26.8
01003,"Baldwin County, Alabama",71.7,28.3
01005,"Barbour County, Alabama",63.9,36.1
01007,"Bibb County, Alabama",72.6,27.4
01009,"Blount County, Alabama",78.8,21.2
01011,"Bullock County, Alabama",73.1,26.9
01013,"Butler County, Alabama",70.3,29.7
01015,"Calhoun County, Alabama",69,31
01017,"Chambers County, Alabama",67.6,32.4
01019,"Cherokee County, Alabama",79.2,20.8
01021,"Chilton County, Alabama",76,24
01023,"Choctaw County, Alabama",80.5,19.5
01025,"Clarke County, Alabama",67.2,32.8
01027,"Clay County, Alabama",75.1,24.9
01029,"Cleburne County, Alabama",75.6,24.4
01031,"Coffee County, Alabama",66.7,33.3
01033,"Colbert County, Alabama",72.1,27.9
01035,"Conecuh County, Alabama",78.5,21.5
01037,"Coosa County, Alabama",79.5,20.5
01039,"Covington County, Alabama",74.7,25.3
01041,"Crenshaw County, Alabama",70.1,29.9
01043,"Cullman County, Alabama",75.9,24.1
01045,"Dale County, Alabama",60.7,39.3
01047,"Dallas County, Alabama",58.3,41.7
01049,"DeKalb County, Alabama",72.3,27.7
01051,"Elmore County, Alabama",73.4,26.6
01053,"Escambia County, Alabama",71.2,28.8
01055,"Etowah County, Alabama",71,29
01057,"Fayette County, Alabama",77.9,22.1
01059,"Franklin County, Alabama",68.8,31.2
01061,"Geneva County, Alabama",75.2,24.8
01063,"Greene County, Alabama",70.5,29.5
01065,"Hale County, Alabama",75.1,24.9
01067,"Henry County, Alabama",80.1,19.9
01069,"Houston County, Alabama",64.4,35.6
01071,"Jackson County, Alabama",72.8,27.2
01073,"Jefferson County, Alabama",63,37
01075,"Lamar County, Alabama",73.1,26.9
01077,"Lauderdale County, Alabama",68.6,31.4
01079,"Lawrence County, Alabama",79.8,20.2
01081,"Lee County, Alabama",58.8,41.2
01083,"Limestone County, Alabama",76,24
01085,"Lowndes County, Alabama",73.6,26.4
01087,"Macon County, Alabama",66,34
01089,"Madison County, Alabama",68,32
01091,"Marengo County, Alabama",69.7,30.3
01093,"Marion County, Alabama",76.5,23.5
01095,"Marshall County, Alabama",70.6,29.4
01097,"Mobile County, Alabama",66,34
01099,"Monroe County, Alabama",61.3,38.7
01101,"Montgomery County, Alabama",58.7,41.3
01103,"Morgan County, Alabama",70.9,29.1
01105,"Perry County, Alabama",73.3,26.7
01107,"Pickens County, Alabama",72.7,27.3
01109,"Pike County, Alabama",59.3,40.7
01111,"Randolph County, Alabama",71,29
01113,"Russell County, Alabama",58.7,41.3
01115,"St. Clair County, Alabama",81.1,18.9
01117,"Shelby County, Alabama",79.3,20.7
01119,"Sumter County, Alabama",66.1,33.9
01121,"Talladega County, Alabama",72.2,27.8
01123,"Tallapoosa County, Alabama",70.8,29.2
01125,"Tuscaloosa County, Alabama",63,37
01127,"Walker County, Alabama",74.5,25.5
01129,"Washington County, Alabama",83.7,16.3
01131,"Wilcox County, Alabama",62.7,37.3
01133,"Winston County, Alabama",75.9,24.1
02013,"Aleutians East Borough, Alaska",56.2,43.8
02016,"Aleutians West Census Area, Alaska",28.3,71.7
02020,"Anchorage Municipality, Alaska",60.3,39.7
02050,"Bethel Census Area, Alaska",64.1,35.9
02060,"Bristol Bay Borough, Alaska",54.7,45.3
02068,"Denali Borough, Alaska",75.4,24.6
02070,"Dillingham Census Area, Alaska",60.5,39.5
02090,"Fairbanks North Star Borough, Alaska",59.5,40.5
02100,"Haines Borough, Alaska",68.6,31.4
02105,"Hoonah-Angoon Census Area, Alaska",71.4,28.6
02110,"Juneau City and Borough, Alaska",64.4,35.6
02122,"Kenai Peninsula Borough, Alaska",71.6,28.4
02130,"Ketchikan Gateway Borough, Alaska",59.5,40.5
02150,"Kodiak Island Borough, Alaska",60.7,39.3
02158,"Kusilvak Census Area, Alaska",74,26
02164,"Lake and Peninsula Borough, Alaska",67.9,32.1
02170,"Matanuska-Susitna Borough, Alaska",75.8,24.2
02180,"Nome Census Area, Alaska",60.2,39.8
