id,Geography,amount200,percent200
01001,"Autauga County, Alabama",484,2.3
01003,"Baldwin County, Alabama",3265,4.3
01005,"Barbour County, Alabama",47,0.5
01007,"Bibb County, Alabama",55,0.8
01009,"Blount County, Alabama",247,1.2
01011,"Bullock County, Alabama",43,1.2
01013,"Butler County, Alabama",46,0.6
01015,"Calhoun County, Alabama",730,1.6
01017,"Chambers County, Alabama",155,1.1
01019,"Cherokee County, Alabama",134,1.2
01021,"Chilton County, Alabama",208,1.3
01023,"Choctaw County, Alabama",70,1.3
01025,"Clarke County, Alabama",180,1.9
01027,"Clay County, Alabama",97,1.8
01029,"Cleburne County, Alabama",52,0.9
01031,"Coffee County, Alabama",362,1.9
01033,"Colbert County, Alabama",219,1
01035,"Conecuh County, Alabama",28,0.6
01037,"Coosa County, Alabama",26,0.6
01039,"Covington County, Alabama",234,1.5
01041,"Crenshaw County, Alabama",91,1.7
01043,"Cullman County, Alabama",573,1.8
01045,"Dale County, Alabama",348,1.9
01047,"Dallas County, Alabama",287,1.8
01049,"DeKalb County, Alabama",317,1.3
01051,"Elmore County, Alabama",705,2.4
01053,"Escambia County, Alabama",197,1.5
01055,"Etowah County, Alabama",705,1.8
01057,"Fayette County, Alabama",103,1.5
01059,"Franklin County, Alabama",138,1.2
01061,"Geneva County, Alabama",136,1.3
01063,"Greene County, Alabama",0,0
01065,"Hale County, Alabama",107,1.8
01067,"Henry County, Alabama",73,1.1
01069,"Houston County, Alabama",1247,3.2
01071,"Jackson County, Alabama",353,1.8
01073,"Jefferson County, Alabama",11420,4.4
01075,"Lamar County, Alabama",70,1.2
01077,"Lauderdale County, Alabama",905,2.4
01079,"Lawrence County, Alabama",69,0.5
01081,"Lee County, Alabama",1844,3.2
01083,"Limestone County, Alabama",1175,3.7
01085,"Lowndes County, Alabama",57,1.3
01087,"Macon County, Alabama",22,0.3
01089,"Madison County, Alabama",7947,5.7
01091,"Marengo County, Alabama",92,1.1
01093,"Marion County, Alabama",238,1.9
01095,"Marshall County, Alabama",891,2.6
01097,"Mobile County, Alabama",3865,2.5
01099,"Monroe County, Alabama",66,0.8
01101,"Montgomery County, Alabama",3107,3.4
01103,"Morgan County, Alabama",963,2.1
01105,"Perry County, Alabama",35,1.1
01107,"Pickens County, Alabama",134,1.8
01109,"Pike County, Alabama",166,1.3
01111,"Randolph County, Alabama",104,1.2
01113,"Russell County, Alabama",203,0.9
01115,"St. Clair County, Alabama",566,1.8
01117,"Shelby County, Alabama",4776,6.3
01119,"Sumter County, Alabama",21,0.4
01121,"Talladega County, Alabama",351,1.1
01123,"Tallapoosa County, Alabama",219,1.3
01125,"Tuscaloosa County, Alabama",2111,3
01127,"Walker County, Alabama",434,1.7
01129,"Washington County, Alabama",55,0.9
01131,"Wilcox County, Alabama",29,0.8
01133,"Winston County, Alabama",86,0.9
02013,"Aleutians East Borough, Alaska",33,4.2
02016,"Aleutians West Census Area, Alaska",97,8.2
02020,"Anchorage Municipality, Alaska",9257,8.8
02050,"Bethel Census Area, Alaska",124,2.7
02060,"Bristol Bay Borough, Alaska",18,5
02068,"Denali Borough, Alaska",41,5.8
02070,"Dillingham Census Area, Alaska",44,3.2
02090,"Fairbanks North Star Borough, Alaska",2080,5.9
02100,"Haines Borough, Alaska",78,6.7
02105,"Hoonah-Angoon Census Area, Alaska",9,1.1
02110,"Juneau City and Borough, Alaska",952,7.8
02122,"Kenai Peninsula Borough, Alaska",1045,4.9
02130,"Ketchikan Gateway Borough, Alaska",307,5.9
02150,"Kodiak Island Borough, Alaska",216,4.7
02158,"Kusilvak Census Area, Alaska",9,0.5
02164,"Lake and Peninsula Borough, Alaska",8,1.7
02170,"Matanuska-Susitna Borough, Alaska",1718,5.6
02180,"Nome Census Area, Alaska",99,3.4
02185,"North Slope Borough, Alaska",159,7.9
02188,"Northwest Arctic Borough, Alaska",79,4.1
02195,"Petersburg Borough, Alaska",56,4.5
02198,"Prince of Wales-Hyder Census Area, Alaska",39,1.7
02220,"Sitka City and Borough, Alaska",171,4.9
02230,"Skagway Municipality, Alaska",9,2.1
02240,"Southeast Fairbanks Census Area, Alaska",56,2.7
02261,"Valdez-Cordova Census Area, Alaska",221,7.5
02275,"Wrangell City and Borough, Alaska",25,2.4
02282,"Yakutat City and Borough, Alaska",3,1.2
02290,"Yukon-Koyukuk Census Area, Alaska",25,1.3
04001,"Apache County, Arizona",95,0.5
04003,"Cochise County, Arizona",1316,2.7
04005,"Coconino County, Arizona",1876,4
04007,"Gila County, Arizona",303,1.4
04009,"Graham County, Arizona",135,1.2
04011,"Greenlee County, Arizona",55,1.7
04012,"La Paz County, Arizona",77,0.8
04013,"Maricopa County, Arizona",76631,5.2
04015,"Mohave County, Arizona",1321,1.6
04017,"Navajo County, Arizona",470,1.4
04019,"Pima County, Arizona",13067,3.3
