Id2,Geography,OneHundredPlus
01001,"Autauga County, Alabama",20.8
01003,"Baldwin County, Alabama",20.9
01005,"Barbour County, Alabama",9.9
01007,"Bibb County, Alabama",10.6
01009,"Blount County, Alabama",13.3
01011,"Bullock County, Alabama",5.3
01013,"Butler County, Alabama",10.1
01015,"Calhoun County, Alabama",13.6
01017,"Chambers County, Alabama",8.4
01019,"Cherokee County, Alabama",12.7
01021,"Chilton County, Alabama",13
01023,"Choctaw County, Alabama",12.5
01025,"Clarke County, Alabama",14.7
01027,"Clay County, Alabama",10.1
01029,"Cleburne County, Alabama",11
01031,"Coffee County, Alabama",19.5
01033,"Colbert County, Alabama",13.3
01035,"Conecuh County, Alabama",5.4
01037,"Coosa County, Alabama",5.8
01039,"Covington County, Alabama",12.1
01041,"Crenshaw County, Alabama",11.7
01043,"Cullman County, Alabama",11.7
01045,"Dale County, Alabama",14.1
01047,"Dallas County, Alabama",10
01049,"DeKalb County, Alabama",9
01051,"Elmore County, Alabama",20.5
01053,"Escambia County, Alabama",10.5
01055,"Etowah County, Alabama",11.7
01057,"Fayette County, Alabama",8.8
01059,"Franklin County, Alabama",9.4
01061,"Geneva County, Alabama",9.9
01063,"Greene County, Alabama",5.3
01065,"Hale County, Alabama",9.5
01067,"Henry County, Alabama",15
01069,"Houston County, Alabama",15.3
01071,"Jackson County, Alabama",10.7
01073,"Jefferson County, Alabama",20.2
01075,"Lamar County, Alabama",8.8
01077,"Lauderdale County, Alabama",14.6
01079,"Lawrence County, Alabama",13.4
01081,"Lee County, Alabama",18.8
01083,"Limestone County, Alabama",21.8
01085,"Lowndes County, Alabama",8.8
01087,"Macon County, Alabama",9.9
01089,"Madison County, Alabama",28.8
01091,"Marengo County, Alabama",11.3
01093,"Marion County, Alabama",12.2
01095,"Marshall County, Alabama",13.5
01097,"Mobile County, Alabama",16.1
01099,"Monroe County, Alabama",8.9
01101,"Montgomery County, Alabama",18
01103,"Morgan County, Alabama",15.9
01105,"Perry County, Alabama",7.5
01107,"Pickens County, Alabama",10.1
01109,"Pike County, Alabama",11.5
01111,"Randolph County, Alabama",9
01113,"Russell County, Alabama",11.4
01115,"St. Clair County, Alabama",17.6
01117,"Shelby County, Alabama",31.9
01119,"Sumter County, Alabama",5.6
01121,"Talladega County, Alabama",11.4
01123,"Tallapoosa County, Alabama",11.5
01125,"Tuscaloosa County, Alabama",18.4
01127,"Walker County, Alabama",11.1
01129,"Washington County, Alabama",10.6
01131,"Wilcox County, Alabama",7.6
01133,"Winston County, Alabama",8.5
02013,"Aleutians East Borough, Alaska",26.9
02016,"Aleutians West Census Area, Alaska",38.6
02020,"Anchorage Municipality, Alaska",39.3
02050,"Bethel Census Area, Alaska",20.6
02060,"Bristol Bay Borough, Alaska",40.8
02068,"Denali Borough, Alaska",40.6
02070,"Dillingham Census Area, Alaska",23.3
02090,"Fairbanks North Star Borough, Alaska",32.9
02100,"Haines Borough, Alaska",23.7
02105,"Hoonah-Angoon Census Area, Alaska",20.1
02110,"Juneau City and Borough, Alaska",42.1
02122,"Kenai Peninsula Borough, Alaska",29.2
02130,"Ketchikan Gateway Borough, Alaska",28.6
02150,"Kodiak Island Borough, Alaska",35.9
02158,"Kusilvak Census Area, Alaska",9.5
02164,"Lake and Peninsula Borough, Alaska",12.9
02170,"Matanuska-Susitna Borough, Alaska",33.9
02180,"Nome Census Area, Alaska",22
02185,"North Slope Borough, Alaska",35.6
02188,"Northwest Arctic Borough, Alaska",30.1
02195,"Petersburg Borough, Alaska",29.9
02198,"Prince of Wales-Hyder Census Area, Alaska",21.8
02220,"Sitka City and Borough, Alaska",30.5
02230,"Skagway Municipality, Alaska",28
02240,"Southeast Fairbanks Census Area, Alaska",25.8
02261,"Valdez-Cordova Census Area, Alaska",38
02275,"Wrangell City and Borough, Alaska",21.3
02282,"Yakutat City and Borough, Alaska",22.6
02290,"Yukon-Koyukuk Census Area, Alaska",14.7
04001,"Apache County, Arizona",8.8
04003,"Cochise County, Arizona",16
