id,Geography,medianHomeValue
01001,"Autauga County, Alabama",141000
01003,"Baldwin County, Alabama",173400
01005,"Barbour County, Alabama",90300
01007,"Bibb County, Alabama",97200
01009,"Blount County, Alabama",124200
01011,"Bullock County, Alabama",68000
01013,"Butler County, Alabama",83000
01015,"Calhoun County, Alabama",107900
01017,"Chambers County, Alabama",83000
01019,"Cherokee County, Alabama",112500
01021,"Chilton County, Alabama",99100
01023,"Choctaw County, Alabama",64600
01025,"Clarke County, Alabama",85900
01027,"Clay County, Alabama",90000
01029,"Cleburne County, Alabama",108100
01031,"Coffee County, Alabama",142800
01033,"Colbert County, Alabama",102500
01035,"Conecuh County, Alabama",72300
01037,"Coosa County, Alabama",76500
01039,"Covington County, Alabama",93700
01041,"Crenshaw County, Alabama",77600
01043,"Cullman County, Alabama",118700
01045,"Dale County, Alabama",103800
01047,"Dallas County, Alabama",81000
01049,"DeKalb County, Alabama",99600
01051,"Elmore County, Alabama",152500
01053,"Escambia County, Alabama",93900
01055,"Etowah County, Alabama",101900
01057,"Fayette County, Alabama",76400
01059,"Franklin County, Alabama",87000
01061,"Geneva County, Alabama",81500
01063,"Greene County, Alabama",68100
01065,"Hale County, Alabama",89400
01067,"Henry County, Alabama",101800
01069,"Houston County, Alabama",124800
01071,"Jackson County, Alabama",103800
01073,"Jefferson County, Alabama",145700
01075,"Lamar County, Alabama",71100
01077,"Lauderdale County, Alabama",124100
01079,"Lawrence County, Alabama",97600
01081,"Lee County, Alabama",156400
01083,"Limestone County, Alabama",142500
01085,"Lowndes County, Alabama",68900
01087,"Macon County, Alabama",77000
01089,"Madison County, Alabama",171200
01091,"Marengo County, Alabama",87900
01093,"Marion County, Alabama",85500
01095,"Marshall County, Alabama",115700
01097,"Mobile County, Alabama",123500
01099,"Monroe County, Alabama",87700
01101,"Montgomery County, Alabama",122000
01103,"Morgan County, Alabama",124900
01105,"Perry County, Alabama",73700
01107,"Pickens County, Alabama",89100
01109,"Pike County, Alabama",102300
01111,"Randolph County, Alabama",85600
01113,"Russell County, Alabama",114000
