id,Geography,medianHouseholdIncome
01001,"Autauga County, Alabama",53099
01003,"Baldwin County, Alabama",51365
01005,"Barbour County, Alabama",33956
01007,"Bibb County, Alabama",39776
01009,"Blount County, Alabama",46212
01011,"Bullock County, Alabama",29335
01013,"Butler County, Alabama",34315
01015,"Calhoun County, Alabama",41954
01017,"Chambers County, Alabama",36027
01019,"Cherokee County, Alabama",38925
01021,"Chilton County, Alabama",42594
01023,"Choctaw County, Alabama",32622
01025,"Clarke County, Alabama",32735
01027,"Clay County, Alabama",38815
01029,"Cleburne County, Alabama",36316
01031,"Coffee County, Alabama",47872
01033,"Colbert County, Alabama",43786
01035,"Conecuh County, Alabama",27609
01037,"Coosa County, Alabama",31910
01039,"Covington County, Alabama",37313
01041,"Crenshaw County, Alabama",37557
01043,"Cullman County, Alabama",39297
01045,"Dale County, Alabama",44093
01047,"Dallas County, Alabama",28136
01049,"DeKalb County, Alabama",38248
01051,"Elmore County, Alabama",53398
01053,"Escambia County, Alabama",32334
01055,"Etowah County, Alabama",40478
01057,"Fayette County, Alabama",36205
01059,"Franklin County, Alabama",36138
01061,"Geneva County, Alabama",36519
01063,"Greene County, Alabama",21339
01065,"Hale County, Alabama",33351
01067,"Henry County, Alabama",41045
01069,"Houston County, Alabama",41945
01071,"Jackson County, Alabama",38422
01073,"Jefferson County, Alabama",47220
01075,"Lamar County, Alabama",34298
01077,"Lauderdale County, Alabama",43657
01079,"Lawrence County, Alabama",42339
01081,"Lee County, Alabama",45056
01083,"Limestone County, Alabama",51115
01085,"Lowndes County, Alabama",27914
01087,"Macon County, Alabama",32390
01089,"Madison County, Alabama",60150
01091,"Marengo County, Alabama",30713
01093,"Marion County, Alabama",34074
01095,"Marshall County, Alabama",39831
01097,"Mobile County, Alabama",44263
01099,"Monroe County, Alabama",28182
01101,"Montgomery County, Alabama",45358
01103,"Morgan County, Alabama",46883
01105,"Perry County, Alabama",24912
01107,"Pickens County, Alabama",31679
01109,"Pike County, Alabama",33193
01111,"Randolph County, Alabama",37496
01113,"Russell County, Alabama",38400
01115,"St. Clair County, Alabama",54042
01117,"Shelby County, Alabama",72310
01119,"Sumter County, Alabama",20428
01121,"Talladega County, Alabama",37923
01123,"Tallapoosa County, Alabama",39395
01125,"Tuscaloosa County, Alabama",48022
01127,"Walker County, Alabama",37025
01129,"Washington County, Alabama",40293
01131,"Wilcox County, Alabama",24442
01133,"Winston County, Alabama",33896
02013,"Aleutians East Borough, Alaska",65926
02016,"Aleutians West Census Area, Alaska",86964
02020,"Anchorage Municipality, Alaska",80862
02050,"Bethel Census Area, Alaska",53296
02060,"Bristol Bay Borough, Alaska",88000
02068,"Denali Borough, Alaska",81302
02070,"Dillingham Census Area, Alaska",56055
02090,"Fairbanks North Star Borough, Alaska",73831
02100,"Haines Borough, Alaska",53125
02105,"Hoonah-Angoon Census Area, Alaska",54091
02110,"Juneau City and Borough, Alaska",87436
02122,"Kenai Peninsula Borough, Alaska",64891
02130,"Ketchikan Gateway Borough, Alaska",64162
02150,"Kodiak Island Borough, Alaska",73068
02158,"Kusilvak Census Area, Alaska",38160
02164,"Lake and Peninsula Borough, Alaska",43864
02170,"Matanuska-Susitna Borough, Alaska",73908
02180,"Nome Census Area, Alaska",51563
02185,"North Slope Borough, Alaska",72027
02188,"Northwest Arctic Borough, Alaska",61341
02195,"Petersburg Borough, Alaska",63940
02198,"Prince of Wales-Hyder Census Area, Alaska",51887
02220,"Sitka City and Borough, Alaska",70160
02230,"Skagway Municipality, Alaska",64853
02240,"Southeast Fairbanks Census Area, Alaska",63713
02261,"Valdez-Cordova Census Area, Alaska",82511
02275,"Wrangell City and Borough, Alaska",52986
02282,"Yakutat City and Borough, Alaska",66875
02290,"Yukon-Koyukuk Census Area, Alaska",38451
04001,"Apache County, Arizona",32460
04003,"Cochise County, Arizona",45383
04005,"Coconino County, Arizona",51106
04007,"Gila County, Arizona",40593
