state,medianHouseholdIncome
Alabama,44758
Alaska,74444
Arizona,51340
Arkansas,42336
California,63783
Colorado,62520
Connecticut,71755
Delaware,61017
District of Columbia,72935
Florida,48900
Georgia,51037
Hawaii,71977
Idaho,49174
Illinois,59196
Indiana,50433
Iowa,54570
Kansas,53571
Kentucky,44811
Louisiana,45652
Maine,50826
Maryland,76067
Massachusetts,70954
Michigan,50803
Minnesota,63217
Mississippi,40528
Missouri,49593
Montana,48380
Nebraska,54384
Nevada,53094
New Hampshire,68485
New Jersey,73702
New Mexico,45674
New York,60741
North Carolina,48256
North Dakota,59114
Ohio,50674
North Dakota,59114
Ohio,50674
Oklahoma,48038
Oregon,53270
Pennsylvania,54895
Rhode Island,58387
South Carolina,46898
South Dakota,52078
Tennessee,46574
Texas,54727
Utah,62518
Vermont,56104
Virginia,66149
Washington,62848
West Virginia,42644
Wisconsin,54610
Wyoming,59143
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
