state,medianRent
Alabama,728
Alaska,1173
Arizona,937
Arkansas,689
California,1297
Colorado,1057
Connecticut,1094
Delaware,1039
District of Columbia,1362
Florida,1032
Georgia,897
Hawaii,1456
Idaho,764
Illinois,925
Indiana,758
Iowa,715
Kansas,775
Kentucky,690
Louisiana,800
Maine,790
Maryland,1264
Massachusetts,1129
Michigan,799
Minnesota,873
Mississippi,723
Missouri,759
Montana,732
Nebraska,745
Nevada,984
New Hampshire,1021
New Jersey,1213
New Mexico,792
New York,1159
North Carolina,816
North Dakota,736
Ohio,743
North Dakota,736
Ohio,743
Oklahoma,742
Oregon,941
Pennsylvania,859
Rhode Island,938
South Carolina,811
South Dakota,676
Tennessee,782
Texas,911
Utah,912
Vermont,913
Virginia,1135
Washington,1056
West Virginia,658
Wisconsin,789
Wyoming,802
