id,Geography,medianRooms
01001,"Autauga County, Alabama",6
01003,"Baldwin County, Alabama",5.5
01005,"Barbour County, Alabama",5.5
01007,"Bibb County, Alabama",5.5
01009,"Blount County, Alabama",5.7
01011,"Bullock County, Alabama",5.8
01013,"Butler County, Alabama",5.5
01015,"Calhoun County, Alabama",5.7
01017,"Chambers County, Alabama",5.4
01019,"Cherokee County, Alabama",5.6
01021,"Chilton County, Alabama",5.7
01023,"Choctaw County, Alabama",5.4
01025,"Clarke County, Alabama",5.7
01027,"Clay County, Alabama",5.8
01029,"Cleburne County, Alabama",5.4
01031,"Coffee County, Alabama",5.7
01033,"Colbert County, Alabama",5.7
01035,"Conecuh County, Alabama",5.3
01037,"Coosa County, Alabama",5.5
01039,"Covington County, Alabama",5.6
01041,"Crenshaw County, Alabama",5.6
01043,"Cullman County, Alabama",5.6
01045,"Dale County, Alabama",5.5
01047,"Dallas County, Alabama",5.5
01049,"DeKalb County, Alabama",5.8
01051,"Elmore County, Alabama",5.9
01053,"Escambia County, Alabama",5.4
01055,"Etowah County, Alabama",5.8
01057,"Fayette County, Alabama",5.5
01059,"Franklin County, Alabama",5.7
01061,"Geneva County, Alabama",5.7
01063,"Greene County, Alabama",5
01065,"Hale County, Alabama",5.3
01067,"Henry County, Alabama",5.6
01069,"Houston County, Alabama",5.6
01071,"Jackson County, Alabama",5.8
01073,"Jefferson County, Alabama",5.7
01075,"Lamar County, Alabama",5.6
01077,"Lauderdale County, Alabama",5.7
01079,"Lawrence County, Alabama",5.8
01081,"Lee County, Alabama",5.4
01083,"Limestone County, Alabama",6
01085,"Lowndes County, Alabama",5.6
01087,"Macon County, Alabama",5.6
01089,"Madison County, Alabama",6.1
01091,"Marengo County, Alabama",5.5
01093,"Marion County, Alabama",5.6
01095,"Marshall County, Alabama",5.8
01097,"Mobile County, Alabama",5.7
01099,"Monroe County, Alabama",5.7
01101,"Montgomery County, Alabama",5.8
01103,"Morgan County, Alabama",5.8
01105,"Perry County, Alabama",5.5
01107,"Pickens County, Alabama",5.8
01109,"Pike County, Alabama",5.2
01111,"Randolph County, Alabama",5.6
01113,"Russell County, Alabama",5.4
01115,"St. Clair County, Alabama",5.9
01117,"Shelby County, Alabama",6.4
01119,"Sumter County, Alabama",5.2
01121,"Talladega County, Alabama",5.6
01123,"Tallapoosa County, Alabama",5.5
01125,"Tuscaloosa County, Alabama",5.4
01127,"Walker County, Alabama",5.6
01129,"Washington County, Alabama",5.5
01131,"Wilcox County, Alabama",5.6
01133,"Winston County, Alabama",5.4
02013,"Aleutians East Borough, Alaska",4.9
02016,"Aleutians West Census Area, Alaska",4.5
02020,"Anchorage Municipality, Alaska",5.3
02050,"Bethel Census Area, Alaska",3.7
02060,"Bristol Bay Borough, Alaska",4.1
02068,"Denali Borough, Alaska",3.1
02070,"Dillingham Census Area, Alaska",3.7
02090,"Fairbanks North Star Borough, Alaska",4.8
02100,"Haines Borough, Alaska",4.4
02105,"Hoonah-Angoon Census Area, Alaska",4
02110,"Juneau City and Borough, Alaska",5
02122,"Kenai Peninsula Borough, Alaska",4.4
02130,"Ketchikan Gateway Borough, Alaska",4.8
02150,"Kodiak Island Borough, Alaska",4.5
02158,"Kusilvak Census Area, Alaska",3.8
02164,"Lake and Peninsula Borough, Alaska",3.8
02170,"Matanuska-Susitna Borough, Alaska",4.8
02180,"Nome Census Area, Alaska",3.7
02185,"North Slope Borough, Alaska",4.1
02188,"Northwest Arctic Borough, Alaska",3.7
02195,"Petersburg Borough, Alaska",4.6
02198,"Prince of Wales-Hyder Census Area, Alaska",4.5
02220,"Sitka City and Borough, Alaska",4.7
02230,"Skagway Municipality, Alaska",4.1
02240,"Southeast Fairbanks Census Area, Alaska",4.4
02261,"Valdez-Cordova Census Area, Alaska",4.1
02275,"Wrangell City and Borough, Alaska",4.6
02282,"Yakutat City and Borough, Alaska",4.2
02290,"Yukon-Koyukuk Census Area, Alaska",3
04001,"Apache County, Arizona",4.3
