occupation,men,women
Speech-language pathologists,2,98
Preschool and kindergarten teachers,2.3,97.7
Dental assistants,4.1,95.9
Secretaries and administrative assistants,5,95
Dental hygienists,5.1,94.9
Dietitians and nutritionists,5.9,94.1
Childcare workers,6.3,93.7
"Hairdressers, hairstylists, and cosmetologists",7.4,92.6
Nurse practitioners,7.8,92.2
Medical records and health information technicians,8.3,91.7
Medical assistants,8.4,91.6
Receptionists and information clerks,9,91
Registered nurses,10.1,89.9
Word processors and typists,10.2,89.8
Licensed practical and licensed vocational nurses,10.5,89.5
Payroll and timekeeping clerks,10.5,89.5
"Bookkeeping, accounting, and auditing clerks",11.3,88.7
"Nursing, psychiatric, and home health aides",11.4,88.6
Teacher assistants,11.5,88.5
Maids and housekeeping cleaners,12,88
Occupational therapists,12.4,87.6
Paralegals and legal assistants,13.7,86.3
"Hosts and hostesses, restaurant, lounge, and coffee shop",14.1,85.9
Billing and posting clerks,14.1,85.9
Special education teachers,14.4,85.6
Tellers,14.8,85.2
"Meeting, convention, and event planners",14.9,85.1
"Interviewers, except eligibility and loan",15,85
Insurance claims and policy processing clerks,15.7,84.3
Veterinary assistants and laboratory animal caretakers,15.8,84.2
Phlebotomists,16.2,83.8
Personal care aides,16.3,83.7
"Therapists, all other",16.7,83.3
"Office clerks, general",16.9,83.1
Massage therapists,17.3,82.7
Travel agents,17.3,82.7
Social workers,17.5,82.5
Miscellaneous personal appearance workers,18.2,81.8
File clerks,18.6,81.4
Loan interviewers and clerks,19.6,80.4
Miscellaneous legal support workers,19.8,80.2
"Library assistants, clerical",19.9,80.1
Data entry keyers,20.4,79.6
Librarians,20.5,79.5
Health practitioner support technologists and technicians,20.6,79.4
Elementary and middle school teachers,20.7,79.3
Nonfarm animal caretakers,21.6,78.4
"Models, demonstrators, and product promoters",21.6,78.4
"Information and record clerks, all other",21.9,78.1
Fundraisers,22.7,77.3
"Eligibility interviewers, government programs",23.3,76.7
"Tailors, dressmakers, and sewers",24.1,75.9
Social and human service assistants,24.7,75.3
"Court, municipal, and license clerks",24.8,75.2
"Office and administrative support workers, all other",24.8,75.2
"Miscellaneous community and social service specialists, including",25.2,74.8
Sewing machine operators,26.8,73.2
Flight attendants,27.1,72.9
Cashiers,27.3,72.7
Respiratory therapists,27.6,72.4
"Compensation, benefits, and job analysis specialists",27.7,72.3
Counselors,27.7,72.3
Human resources workers,27.9,72.1
Bill and account collectors,28.7,71.3
Physician assistants,29.1,70.9
Human resources managers,29.2,70.8
