id,Geography,oneBedMedianRent,twoBedMedianRent
01001,"Autauga County, Alabama",818,761
01003,"Baldwin County, Alabama",668,824
01005,"Barbour County, Alabama",328,565
01007,"Bibb County, Alabama",440,701
01009,"Blount County, Alabama",480,584
01011,"Bullock County, Alabama",-,429
01013,"Butler County, Alabama",421,495
01015,"Calhoun County, Alabama",451,607
01017,"Chambers County, Alabama",567,645
01019,"Cherokee County, Alabama",335,559
01021,"Chilton County, Alabama",494,566
01023,"Choctaw County, Alabama",300,545
01025,"Clarke County, Alabama",338,498
01027,"Clay County, Alabama",334,388
01029,"Cleburne County, Alabama",280,541
01031,"Coffee County, Alabama",439,620
01033,"Colbert County, Alabama",445,632
01035,"Conecuh County, Alabama",358,399
01037,"Coosa County, Alabama",361,563
01039,"Covington County, Alabama",377,524
01041,"Crenshaw County, Alabama",346,508
01043,"Cullman County, Alabama",461,602
01045,"Dale County, Alabama",433,557
01047,"Dallas County, Alabama",430,557
01049,"DeKalb County, Alabama",294,505
01051,"Elmore County, Alabama",570,734
01053,"Escambia County, Alabama",424,502
01055,"Etowah County, Alabama",428,597
01057,"Fayette County, Alabama",240,482
01059,"Franklin County, Alabama",421,514
01061,"Geneva County, Alabama",330,529
01063,"Greene County, Alabama",276,429
01065,"Hale County, Alabama",334,423
01067,"Henry County, Alabama",379,557
01069,"Houston County, Alabama",464,650
01071,"Jackson County, Alabama",475,606
01073,"Jefferson County, Alabama",687,802
01075,"Lamar County, Alabama",370,370
01077,"Lauderdale County, Alabama",472,599
01079,"Lawrence County, Alabama",257,536
01081,"Lee County, Alabama",586,766
01083,"Limestone County, Alabama",473,581
01085,"Lowndes County, Alabama",266,500
01087,"Macon County, Alabama",322,584
01089,"Madison County, Alabama",618,754
01091,"Marengo County, Alabama",314,466
01093,"Marion County, Alabama",279,432
01095,"Marshall County, Alabama",414,571
01097,"Mobile County, Alabama",598,775
01099,"Monroe County, Alabama",460,477
01101,"Montgomery County, Alabama",650,803
01103,"Morgan County, Alabama",467,614
01105,"Perry County, Alabama",600,449
01107,"Pickens County, Alabama",315,455
01109,"Pike County, Alabama",465,571
01111,"Randolph County, Alabama",407,531
01113,"Russell County, Alabama",565,739
01115,"St. Clair County, Alabama",602,709
01117,"Shelby County, Alabama",842,922
01119,"Sumter County, Alabama",227,637
01121,"Talladega County, Alabama",313,598
01123,"Tallapoosa County, Alabama",448,532
01125,"Tuscaloosa County, Alabama",643,774
01127,"Walker County, Alabama",414,597
01129,"Washington County, Alabama",265,592
01131,"Wilcox County, Alabama",338,403
01133,"Winston County, Alabama",291,480
02013,"Aleutians East Borough, Alaska",644,957
02016,"Aleutians West Census Area, Alaska",956,1482
02020,"Anchorage Municipality, Alaska",917,1214
02050,"Bethel Census Area, Alaska",1170,1378
02060,"Bristol Bay Borough, Alaska",781,1033
02068,"Denali Borough, Alaska",520,1275
02070,"Dillingham Census Area, Alaska",1000,1259
02090,"Fairbanks North Star Borough, Alaska",842,1214
02100,"Haines Borough, Alaska",628,818
02105,"Hoonah-Angoon Census Area, Alaska",625,775
02110,"Juneau City and Borough, Alaska",979,1269
02122,"Kenai Peninsula Borough, Alaska",745,985
02130,"Ketchikan Gateway Borough, Alaska",865,1166
02150,"Kodiak Island Borough, Alaska",848,1329
02158,"Kusilvak Census Area, Alaska",500,650
02164,"Lake and Peninsula Borough, Alaska",663,740
02170,"Matanuska-Susitna Borough, Alaska",776,988
02180,"Nome Census Area, Alaska",1181,1470
02185,"North Slope Borough, Alaska",1043,1117
02188,"Northwest Arctic Borough, Alaska",1076,1129
02195,"Petersburg Borough, Alaska",733,934
02198,"Prince of Wales-Hyder Census Area, Alaska",563,885
02220,"Sitka City and Borough, Alaska",906,1065
02230,"Skagway Municipality, Alaska",980,1105
02240,"Southeast Fairbanks Census Area, Alaska",1000,1042
02261,"Valdez-Cordova Census Area, Alaska",658,1071
02275,"Wrangell City and Borough, Alaska",600,788
02282,"Yakutat City and Borough, Alaska",663,990
02290,"Yukon-Koyukuk Census Area, Alaska",513,631
04001,"Apache County, Arizona",428,433
04003,"Cochise County, Arizona",535,698
04005,"Coconino County, Arizona",818,1051
04007,"Gila County, Arizona",555,761
04009,"Graham County, Arizona",611,731
04011,"Greenlee County, Arizona",664,509
04012,"La Paz County, Arizona",471,660
04013,"Maricopa County, Arizona",765,933
04015,"Mohave County, Arizona",581,725
04017,"Navajo County, Arizona",517,656
04019,"Pima County, Arizona",625,841
04021,"Pinal County, Arizona",579,731
04023,"Santa Cruz County, Arizona",418,635
04025,"Yavapai County, Arizona",619,836
04027,"Yuma County, Arizona",571,745
05001,"Arkansas County, Arkansas",302,572
05003,"Ashley County, Arkansas",419,545
05005,"Baxter County, Arkansas",476,636
05007,"Benton County, Arkansas",617,739
05009,"Boone County, Arkansas",415,584
05011,"Bradley County, Arkansas",359,579
05013,"Calhoun County, Arkansas",722,625
05015,"Carroll County, Arkansas",464,565
05017,"Chicot County, Arkansas",410,393
05019,"Clark County, Arkansas",443,578
05021,"Clay County, Arkansas",340,523
05023,"Cleburne County, Arkansas",358,616
05025,"Cleveland County, Arkansas",308,621
05027,"Columbia County, Arkansas",401,563
05029,"Conway County, Arkansas",284,579
05031,"Craighead County, Arkansas",534,687
05033,"Crawford County, Arkansas",451,638
05035,"Crittenden County, Arkansas",532,666
05037,"Cross County, Arkansas",286,618
05039,"Dallas County, Arkansas",334,476
05041,"Desha County, Arkansas",290,482
05043,"Drew County, Arkansas",428,608
05045,"Faulkner County, Arkansas",587,733
05047,"Franklin County, Arkansas",484,572
05049,"Fulton County, Arkansas",276,517
05051,"Garland County, Arkansas",533,729
05053,"Grant County, Arkansas",677,653
05055,"Greene County, Arkansas",541,640
05057,"Hempstead County, Arkansas",337,589
05059,"Hot Spring County, Arkansas",459,592
05061,"Howard County, Arkansas",427,548
05063,"Independence County, Arkansas",463,611
05065,"Izard County, Arkansas",303,546
05067,"Jackson County, Arkansas",241,561
05069,"Jefferson County, Arkansas",465,668
05071,"Johnson County, Arkansas",373,603
05073,"Lafayette County, Arkansas",308,343
05075,"Lawrence County, Arkansas",357,484
05077,"Lee County, Arkansas",221,474
05079,"Lincoln County, Arkansas",320,600
05081,"Little River County, Arkansas",313,459
05083,"Logan County, Arkansas",411,556
05085,"Lonoke County, Arkansas",521,667
05087,"Madison County, Arkansas",396,620
05089,"Marion County, Arkansas",441,538
05091,"Miller County, Arkansas",546,662
05093,"Mississippi County, Arkansas",341,613
05095,"Monroe County, Arkansas",322,517
05097,"Montgomery County, Arkansas",250,523
