id,Geography,population,medianHouseholdIncome
01001,"Autauga County, Alabama",55049,53099
01003,"Baldwin County, Alabama",199510,51365
01005,"Barbour County, Alabama",26614,33956
01007,"Bibb County, Alabama",22572,39776
01009,"Blount County, Alabama",57704,46212
01011,"Bullock County, Alabama",10552,29335
01013,"Butler County, Alabama",20280,34315
01015,"Calhoun County, Alabama",115883,41954
01017,"Chambers County, Alabama",34018,36027
01019,"Cherokee County, Alabama",25897,38925
01021,"Chilton County, Alabama",43817,42594
01023,"Choctaw County, Alabama",13287,32622
01025,"Clarke County, Alabama",24847,32735
01027,"Clay County, Alabama",13483,38815
01029,"Cleburne County, Alabama",14991,36316
01031,"Coffee County, Alabama",50991,47872
01033,"Colbert County, Alabama",54377,43786
01035,"Conecuh County, Alabama",12697,27609
01037,"Coosa County, Alabama",10864,31910
01039,"Covington County, Alabama",37729,37313
01041,"Crenshaw County, Alabama",13896,37557
01043,"Cullman County, Alabama",81316,39297
01045,"Dale County, Alabama",49607,44093
01047,"Dallas County, Alabama",41426,28136
01049,"DeKalb County, Alabama",70937,38248
01051,"Elmore County, Alabama",80957,53398
01053,"Escambia County, Alabama",37875,32334
01055,"Etowah County, Alabama",103363,40478
01057,"Fayette County, Alabama",16783,36205
01059,"Franklin County, Alabama",31573,36138
01061,"Geneva County, Alabama",26765,36519
01063,"Greene County, Alabama",8587,21339
01065,"Hale County, Alabama",15159,33351
01067,"Henry County, Alabama",17187,41045
01069,"Houston County, Alabama",103891,41945
01071,"Jackson County, Alabama",52608,38422
01073,"Jefferson County, Alabama",659096,47220
01075,"Lamar County, Alabama",14066,34298
01077,"Lauderdale County, Alabama",92641,43657
01079,"Lawrence County, Alabama",33433,42339
01081,"Lee County, Alabama",153947,45056
01083,"Limestone County, Alabama",90257,51115
01085,"Lowndes County, Alabama",10565,27914
01087,"Macon County, Alabama",19684,32390
01089,"Madison County, Alabama",349973,60150
01091,"Marengo County, Alabama",20066,30713
01093,"Marion County, Alabama",30239,34074
01095,"Marshall County, Alabama",94534,39831
01097,"Mobile County, Alabama",414291,44263
01099,"Monroe County, Alabama",21975,28182
01101,"Montgomery County, Alabama",227392,45358
01103,"Morgan County, Alabama",119555,46883
01105,"Perry County, Alabama",9856,24912
01107,"Pickens County, Alabama",20042,31679
01109,"Pike County, Alabama",33277,33193
01111,"Randolph County, Alabama",22615,37496
01113,"Russell County, Alabama",58636,38400
01115,"St. Clair County, Alabama",86576,54042
01117,"Shelby County, Alabama",205951,72310
01119,"Sumter County, Alabama",13285,20428
01121,"Talladega County, Alabama",81057,37923
01123,"Tallapoosa County, Alabama",40958,39395
01125,"Tuscaloosa County, Alabama",202471,48022
01127,"Walker County, Alabama",65593,37025
01129,"Washington County, Alabama",16909,40293
01131,"Wilcox County, Alabama",11119,24442
01133,"Winston County, Alabama",24013,33896
02013,"Aleutians East Borough, Alaska",3299,65926
02016,"Aleutians West Census Area, Alaska",5714,86964
02020,"Anchorage Municipality, Alaska",299321,80862
02050,"Bethel Census Area, Alaska",17885,53296
02060,"Bristol Bay Borough, Alaska",942,88000
02068,"Denali Borough, Alaska",2125,81302
02070,"Dillingham Census Area, Alaska",4980,56055
02090,"Fairbanks North Star Borough, Alaska",100150,73831
02100,"Haines Borough, Alaska",2528,53125
02105,"Hoonah-Angoon Census Area, Alaska",2107,54091
02110,"Juneau City and Borough, Alaska",32524,87436
02122,"Kenai Peninsula Borough, Alaska",57637,64891
02130,"Ketchikan Gateway Borough, Alaska",13715,64162
02150,"Kodiak Island Borough, Alaska",13918,73068
02158,"Kusilvak Census Area, Alaska",7993,38160
02164,"Lake and Peninsula Borough, Alaska",1411,43864
02170,"Matanuska-Susitna Borough, Alaska",98679,73908
02180,"Nome Census Area, Alaska",9879,51563
02185,"North Slope Borough, Alaska",9681,72027
02188,"Northwest Arctic Borough, Alaska",7723,61341
02195,"Petersburg Borough, Alaska",3196,63940
02198,"Prince of Wales-Hyder Census Area, Alaska",6374,51887
02220,"Sitka City and Borough, Alaska",8921,70160
02230,"Skagway Municipality, Alaska",1014,64853
02240,"Southeast Fairbanks Census Area, Alaska",6970,63713
02261,"Valdez-Cordova Census Area, Alaska",9522,82511
02275,"Wrangell City and Borough, Alaska",2401,52986
02282,"Yakutat City and Borough, Alaska",646,66875
02290,"Yukon-Koyukuk Census Area, Alaska",5600,38451
04001,"Apache County, Arizona",72346,32460
04003,"Cochise County, Arizona",128177,45383
04005,"Coconino County, Arizona",138064,51106
04007,"Gila County, Arizona",53179,40593
04009,"Graham County, Arizona",37529,47422
04011,"Greenlee County, Arizona",9224,51813
04012,"La Paz County, Arizona",20304,36321
04013,"Maricopa County, Arizona",4088549,55676
04015,"Mohave County, Arizona",203629,39856
04017,"Navajo County, Arizona",108209,36868
04019,"Pima County, Arizona",1003338,46764
04021,"Pinal County, Arizona",397604,51190
04023,"Santa Cruz County, Arizona",46547,38941
04025,"Yavapai County, Arizona",218586,46638
04027,"Yuma County, Arizona",203292,41467
05001,"Arkansas County, Arkansas",18569,37330
05003,"Ashley County, Arkansas",20989,36352
05005,"Baxter County, Arkansas",40992,38115
05007,"Benton County, Arkansas",245231,59016
05009,"Boone County, Arkansas",37301,38664
05011,"Bradley County, Arkansas",11096,34665
05013,"Calhoun County, Arkansas",5210,35446
05015,"Carroll County, Arkansas",27690,38145
05017,"Chicot County, Arkansas",11189,29628
05019,"Clark County, Arkansas",22684,35595
05021,"Clay County, Arkansas",15202,32404
05023,"Cleburne County, Arkansas",25587,41717
05025,"Cleveland County, Arkansas",8421,42429
05027,"Columbia County, Arkansas",24168,36507
05029,"Conway County, Arkansas",21060,38266
05031,"Craighead County, Arkansas",102884,43892
05033,"Crawford County, Arkansas",61927,41792
05035,"Crittenden County, Arkansas",49511,39407
05037,"Cross County, Arkansas",17329,39306
05039,"Dallas County, Arkansas",7738,35745
05041,"Desha County, Arkansas",12234,26519
05043,"Drew County, Arkansas",18688,33092
05045,"Faulkner County, Arkansas",120417,50872
05047,"Franklin County, Arkansas",17799,39482
05049,"Fulton County, Arkansas",12186,35593
05051,"Garland County, Arkansas",97119,40011
05053,"Grant County, Arkansas",18046,49195
05055,"Greene County, Arkansas",43745,42755
05057,"Hempstead County, Arkansas",22208,34072
05059,"Hot Spring County, Arkansas",33440,42589
05061,"Howard County, Arkansas",13487,34672
05063,"Independence County, Arkansas",37030,37592
05065,"Izard County, Arkansas",13461,35188
05067,"Jackson County, Arkansas",17495,31245
05069,"Jefferson County, Arkansas",72385,36377
05071,"Johnson County, Arkansas",26025,34031
05073,"Lafayette County, Arkansas",7127,29882
05075,"Lawrence County, Arkansas",16915,33381
05077,"Lee County, Arkansas",9781,25724
05079,"Lincoln County, Arkansas",13935,32369
05081,"Little River County, Arkansas",12616,35396
05083,"Logan County, Arkansas",21935,36463
05085,"Lonoke County, Arkansas",71279,56156
05087,"Madison County, Arkansas",15761,39839
05089,"Marion County, Arkansas",16404,33726
05091,"Miller County, Arkansas",43666,39955
05093,"Mississippi County, Arkansas",44199,35003
05095,"Monroe County, Arkansas",7542,31541
05097,"Montgomery County, Arkansas",9100,35103
05099,"Nevada County, Arkansas",8668,30750
05101,"Newton County, Arkansas",7988,33176
05103,"Ouachita County, Arkansas",24728,31233
05105,"Perry County, Arkansas",10246,45819
05107,"Phillips County, Arkansas",19929,26829
05109,"Pike County, Arkansas",11017,34519
05111,"Poinsett County, Arkansas",24131,35163
05113,"Polk County, Arkansas",20290,33202
05115,"Pope County, Arkansas",63107,40534
05117,"Prairie County, Arkansas",8334,37500
05119,"Pulaski County, Arkansas",391806,47101
05121,"Randolph County, Arkansas",17584,36318
05123,"St. Francis County, Arkansas",27023,35066
