state,id,Geography,county,population,medianHouseholdIncome
 Virginia,51107,"Loudoun County, Virginia",Loudoun County,362435,125672
 Virginia,51610,"Falls Church city, Virginia",Falls Church city,13597,115244
 Virginia,51059,"Fairfax County, Virginia",Fairfax County,1132887,114329
 Maryland,24027,"Howard County, Maryland",Howard County,308447,113800
 Maryland,24031,"Montgomery County, Maryland",Montgomery County,1026371,100352
 Maryland,24009,"Calvert County, Maryland",Calvert County,90527,96808
 New Jersey,34019,"Hunterdon County, New Jersey",Hunterdon County,125708,108177
 New Jersey,34027,"Morris County, New Jersey",Morris County,498215,102798
 New Jersey,34035,"Somerset County, New Jersey",Somerset County,331686,102405
 New Mexico,35028,"Los Alamos County, New Mexico",Los Alamos County,17895,105902
 New Mexico,35043,"Sandoval County, New Mexico",Sandoval County,138117,60158
 New Mexico,35015,"Eddy County, New Mexico",Eddy County,56369,59625
 Colorado,8035,"Douglas County, Colorado",Douglas County,314238,105759
 Colorado,8039,"Elbert County, Colorado",Elbert County,24225,87288
 Colorado,8014,"Broomfield County, Colorado",Broomfield County,62449,83334
 New York,36059,"Nassau County, New York",Nassau County,1356801,102044
 New York,36079,"Putnam County, New York",Putnam County,99408,97606
 New York,36103,"Suffolk County, New York",Suffolk County,1498130,90128
 California,6085,"Santa Clara County, California",Santa Clara County,1885056,101173
 California,6041,"Marin County, California",Marin County,259358,100310
 California,6081,"San Mateo County, California",San Mateo County,754748,98546
 Tennessee,47187,"Williamson County, Tennessee",Williamson County,205645,100140
 Tennessee,47189,"Wilson County, Tennessee",Wilson County,125616,63426
 Tennessee,47165,"Sumner County, Tennessee",Sumner County,172786,58972
 Ohio,39041,"Delaware County, Ohio",Delaware County,188996,94234
 Ohio,39165,"Warren County, Ohio",Warren County,222184,76200
 Ohio,39055,"Geauga County, Ohio",Geauga County,94020,74165
 Georgia,13117,"Forsyth County, Georgia",Forsyth County,203841,91842
 Georgia,13113,"Fayette County, Georgia",Fayette County,109495,81689
 Georgia,13219,"Oconee County, Georgia",Oconee County,35071,75946
 Utah,49043,"Summit County, Utah",Summit County,39009,91470
 Utah,49029,"Morgan County, Utah",Morgan County,10645,80865
 Utah,49009,"Daggett County, Utah",Daggett County,751,75938
 Texas,48157,"Fort Bend County, Texas",Fort Bend County,683756,91152
 Texas,48397,"Rockwall County, Texas",Rockwall County,88010,89161
 Texas,48085,"Collin County, Texas",Collin County,886633,86188
 Massachusetts,25021,"Norfolk County, Massachusetts",Norfolk County,691218,90226
 Massachusetts,25019,"Nantucket County, Massachusetts",Nantucket County,10694,89428
 Massachusetts,25017,"Middlesex County, Massachusetts",Middlesex County,1567610,89019
 Minnesota,27139,"Scott County, Minnesota",Scott County,139490,90198
 Minnesota,27019,"Carver County, Minnesota",Carver County,97143,88638
 Minnesota,27163,"Washington County, Minnesota",Washington County,248745,86689
 North Dakota,38105,"Williams County, North Dakota",Williams County,31643,90080
 North Dakota,38053,"McKenzie County, North Dakota",McKenzie County,10718,78179
 North Dakota,38089,"Stark County, North Dakota",Stark County,29837,76817
 Pennsylvania,42029,"Chester County, Pennsylvania",Chester County,512028,88995
 Pennsylvania,42091,"Montgomery County, Pennsylvania",Montgomery County,815876,81902
 Pennsylvania,42017,"Bucks County, Pennsylvania",Bucks County,626220,79559
 Alaska,2060,"Bristol Bay Borough, Alaska",Bristol Bay Borough,942,88000
 Alaska,2110,"Juneau City and Borough, Alaska",Juneau City and Borough,32524,87436
 Alaska,2016,"Aleutians West Census Area, Alaska",Aleutians West Census Area,5714,86964
 Indiana,18057,"Hamilton County, Indiana",Hamilton County,303042,87782
